,Age,Number of siblings,Gender,Left - right handed,Education,BMI,Clusters
158,15.0,2.0,female,right handed,currently a primary school pupil,18.749999999999996,3
159,20.0,1.0,male,right handed,secondary school,19.390581717451525,4
160,19.0,1.0,male,right handed,secondary school,20.990540971410354,2
161,20.0,0.0,female,left handed,secondary school,24.675500270416443,3
162,21.0,0.0,male,left handed,college/bachelor degree,24.653739612188367,4
163,22.0,1.0,male,right handed,secondary school,20.97117202268431,3
165,20.0,0.0,female,right handed,college/bachelor degree,21.258503401360546,0
166,21.0,1.0,female,right handed,secondary school,25.076193048107708,1
168,20.0,0.0,female,right handed,secondary school,21.91358024691358,0
169,19.0,0.0,female,right handed,secondary school,23.124670372023203,1
170,19.0,1.0,male,right handed,secondary school,20.66115702479339,4
171,20.0,0.0,male,right handed,secondary school,22.22222222222222,0
172,22.0,1.0,male,right handed,secondary school,23.299799895836188,2
173,21.0,1.0,male,right handed,secondary school,21.447567845806283,1
174,26.0,0.0,male,right handed,secondary school,23.291229956104985,1
175,17.0,0.0,female,right handed,primary school,22.95908765854944,0
177,26.0,2.0,male,right handed,masters degree,24.508945765204302,2
178,20.0,1.0,female,right handed,masters degree,19.531249999999996,1
179,22.0,1.0,male,right handed,secondary school,22.6421929718633,1
180,21.0,0.0,male,right handed,secondary school,19.591836734693878,2
181,23.0,0.0,male,right handed,secondary school,24.691358024691358,4
182,19.0,0.0,female,right handed,secondary school,18.82711103989745,4
183,20.0,1.0,male,right handed,college/bachelor degree,21.604938271604937,0
184,21.0,0.0,female,right handed,college/bachelor degree,28.075042938300964,2
185,19.0,2.0,female,right handed,secondary school,19.721036967980208,5
186,29.0,2.0,female,right handed,masters degree,22.758306781975424,5
187,22.0,1.0,female,right handed,college/bachelor degree,23.888440980620498,3
188,19.0,2.0,female,left handed,college/bachelor degree,19.031141868512112,1
189,17.0,1.0,female,right handed,primary school,19.5964581216432,1
190,16.0,1.0,female,left handed,primary school,19.227687870533565,1
191,29.0,2.0,female,right handed,masters degree,26.171874999999996,2
192,18.0,2.0,female,right handed,secondary school,26.037493991347535,0
193,26.0,2.0,male,right handed,masters degree,24.508945765204302,2
194,19.0,1.0,male,right handed,secondary school,23.291229956104985,2
195,19.0,0.0,male,right handed,secondary school,20.45288531775018,3
196,20.0,0.0,female,right handed,secondary school,22.40817898532965,0
197,22.0,0.0,female,right handed,college/bachelor degree,18.359374999999996,5
198,20.0,1.0,male,right handed,secondary school,25.4364666435426,0
199,21.0,1.0,male,right handed,secondary school,25.725517400855587,3
200,21.0,2.0,male,right handed,secondary school,19.257028815517668,0
202,15.0,0.0,male,right handed,primary school,19.230182228869694,3
203,19.0,1.0,female,right handed,college/bachelor degree,18.818924310286427,3
204,24.0,1.0,female,right handed,college/bachelor degree,17.856517628934565,2
205,19.0,0.0,female,right handed,secondary school,20.703124999999996,2
206,25.0,3.0,male,left handed,college/bachelor degree,25.10633270321361,2
207,20.0,1.0,female,right handed,college/bachelor degree,21.453287197231838,1
208,19.0,2.0,female,right handed,secondary school,20.761245674740486,0
209,21.0,1.0,male,right handed,secondary school,21.179406843378686,4
210,23.0,2.0,male,right handed,secondary school,24.22022684310019,4
211,21.0,1.0,female,right handed,secondary school,17.75568181818182,0
212,20.0,1.0,male,right handed,secondary school,21.453287197231838,2
213,20.0,1.0,female,right handed,secondary school,24.44727891156463,0
214,18.0,3.0,female,right handed,primary school,18.376825152861773,2
215,27.0,2.0,male,right handed,secondary school,24.691358024691358,5
216,17.0,0.0,female,right handed,secondary school,25.59373706198954,1
217,19.0,1.0,female,right handed,primary school,18.93700290367378,0
218,18.0,2.0,male,right handed,primary school,21.132713440405748,3
219,26.0,1.0,male,right handed,secondary school,24.4140625,3
220,18.0,2.0,male,right handed,secondary school,22.5,4
221,30.0,2.0,male,right handed,masters degree,22.408786769347305,4
222,24.0,1.0,female,right handed,secondary school,17.941817249775728,0
223,20.0,0.0,female,right handed,secondary school,18.069727891156464,5
224,20.0,1.0,male,right handed,secondary school,18.92915089237426,2
225,20.0,1.0,male,right handed,secondary school,20.66115702479339,4
227,19.0,3.0,female,right handed,secondary school,24.092970521541954,2
228,20.0,2.0,female,right handed,secondary school,19.473406629072173,4
229,21.0,5.0,male,right handed,secondary school,24.3910588392529,3
230,19.0,1.0,female,right handed,secondary school,21.04981790236894,4
231,19.0,0.0,female,right handed,secondary school,18.80920625149619,0
232,19.0,2.0,female,right handed,secondary school,21.258503401360546,0
233,18.0,1.0,female,right handed,primary school,17.63085399449036,0
234,18.0,1.0,female,right handed,college/bachelor degree,23.030045351473927,0
235,16.0,0.0,female,right handed,secondary school,21.13885585942661,1
236,19.0,0.0,female,right handed,secondary school,19.493177387914233,0
237,18.0,3.0,female,right handed,secondary school,21.383941996057334,0
238,19.0,2.0,female,right handed,primary school,19.473406629072173,5
239,21.0,0.0,female,left handed,secondary school,19.713321527615356,4
240,21.0,1.0,male,right handed,college/bachelor degree,24.691358024691358,1
241,18.0,0.0,female,right handed,secondary school,18.51851851851852,0
242,21.0,0.0,female,right handed,secondary school,20.571428571428573,5
243,17.0,0.0,female,right handed,secondary school,22.093170054286073,2
244,20.0,0.0,female,right handed,secondary school,17.968749999999996,0
245,19.0,1.0,female,right handed,primary school,20.281233098972418,4
246,27.0,0.0,male,right handed,masters degree,24.691358024691358,0
247,22.0,0.0,female,right handed,college/bachelor degree,24.977043158861342,4
248,19.0,2.0,female,right handed,secondary school,21.484374999999996,3
249,19.0,3.0,female,right handed,secondary school,20.202020202020204,4
250,20.0,0.0,female,right handed,secondary school,20.33832644628099,5
251,19.0,2.0,female,right handed,secondary school,22.308149910767405,0
252,20.0,0.0,female,right handed,secondary school,18.314255983350673,0
253,17.0,0.0,female,left handed,primary school,20.43816558499767,1
254,23.0,2.0,female,right handed,secondary school,20.177148524332274,0
255,20.0,2.0,female,right handed,secondary school,20.028841531805796,2
256,20.0,1.0,female,right handed,secondary school,20.761245674740486,5
257,19.0,2.0,male,right handed,secondary school,19.623233908948194,0
258,20.0,0.0,female,right handed,secondary school,19.01944209636517,2
259,19.0,4.0,male,right handed,secondary school,23.510204081632654,0
260,19.0,0.0,male,right handed,secondary school,24.736530186296992,0
261,18.0,1.0,female,right handed,secondary school,17.301038062283737,5
262,19.0,1.0,female,right handed,secondary school,20.202020202020204,4
263,15.0,3.0,female,right handed,secondary school,17.110020661157026,0
264,19.0,1.0,female,right handed,college/bachelor degree,19.362472659471475,0
265,15.0,1.0,female,right handed,secondary school,16.955017301038065,5
266,19.0,1.0,female,right handed,secondary school,25.510204081632658,0
267,21.0,2.0,female,left handed,masters degree,18.442545824080696,1
268,19.0,2.0,female,right handed,college/bachelor degree,20.342797783933516,5
269,17.0,1.0,female,right handed,secondary school,22.832879346258608,1
270,23.0,1.0,female,right handed,college/bachelor degree,25.71166207529844,0
271,24.0,0.0,male,right handed,secondary school,25.53544639152223,0
272,19.0,1.0,female,right handed,secondary school,19.031141868512112,2
273,19.0,2.0,female,right handed,college/bachelor degree,21.146319909102385,4
274,22.0,0.0,female,right handed,secondary school,20.761245674740486,3
275,20.0,1.0,female,right handed,college/bachelor degree,24.221453287197235,4
276,21.0,2.0,female,right handed,college/bachelor degree,21.179406843378686,0
277,19.0,0.0,male,right handed,secondary school,21.50294250792214,1
278,19.0,2.0,male,right handed,secondary school,26.234567901234566,4
279,20.0,1.0,female,right handed,college/bachelor degree,20.446742023841672,3
280,18.0,1.0,female,right handed,secondary school,21.777553339224845,0
281,19.0,1.0,male,right handed,secondary school,23.355636914530994,4
282,20.0,2.0,female,right handed,secondary school,18.36547291092746,1
284,20.0,2.0,male,right handed,secondary school,21.461936624163616,1
285,20.0,2.0,female,right handed,secondary school,19.48696145124717,5
286,27.0,1.0,female,right handed,masters degree,19.48696145124717,0
287,19.0,0.0,female,right handed,secondary school,17.59259259259259,3
290,20.0,1.0,female,right handed,secondary school,19.37919743392696,0
291,20.0,1.0,male,right handed,secondary school,22.819404547773097,0
292,21.0,1.0,female,right handed,secondary school,35.44423440453686,0
293,16.0,0.0,female,right handed,primary school,22.230987127541326,2
295,18.0,1.0,female,right handed,secondary school,20.43816558499767,2
296,23.0,1.0,male,right handed,college/bachelor degree,24.930747922437675,3
297,19.0,0.0,male,right handed,secondary school,23.735308416025617,3
298,19.0,0.0,female,right handed,secondary school,19.195302796492154,0
299,22.0,1.0,female,right handed,college/bachelor degree,17.374452871796585,0
300,18.0,1.0,female,right handed,secondary school,23.875114784205696,2
301,20.0,1.0,male,right handed,college/bachelor degree,25.48476454293629,1
302,19.0,1.0,female,right handed,secondary school,18.30576947355132,0
303,25.0,1.0,female,right handed,masters degree,27.250887446663558,0
304,18.0,0.0,female,right handed,secondary school,20.703124999999996,5
305,20.0,0.0,female,right handed,college/bachelor degree,22.40817898532965,2
306,15.0,1.0,female,right handed,primary school,20.808561236623067,4
307,19.0,2.0,female,right handed,secondary school,21.952479338842977,2
309,16.0,0.0,female,right handed,secondary school,20.028841531805796,5
310,19.0,1.0,male,right handed,college/bachelor degree,24.074074074074073,3
311,18.0,0.0,female,right handed,college/bachelor degree,20.43816558499767,4
312,15.0,1.0,male,right handed,primary school,25.95155709342561,3
313,20.0,1.0,female,right handed,secondary school,19.031141868512112,0
314,20.0,2.0,male,right handed,secondary school,23.148148148148145,4
315,20.0,1.0,male,left handed,secondary school,20.085066162570886,5
316,20.0,0.0,female,right handed,secondary school,20.761245674740486,3
317,19.0,2.0,male,right handed,secondary school,20.061728395061728,3
318,16.0,0.0,female,right handed,currently a primary school pupil,16.806134238997235,1
319,18.0,1.0,female,left handed,secondary school,23.588329220496444,4
320,20.0,0.0,male,right handed,secondary school,27.77427092538821,3
321,16.0,0.0,female,right handed,college/bachelor degree,20.957171162932475,0
322,18.0,1.0,female,right handed,primary school,19.531249999999996,2
323,20.0,1.0,male,left handed,secondary school,21.461936624163616,1
324,18.0,1.0,female,right handed,primary school,23.030045351473927,0
325,19.0,1.0,male,right handed,secondary school,18.115412710007302,0
326,19.0,0.0,female,right handed,college/bachelor degree,18.93877551020408,3
327,20.0,1.0,female,right handed,secondary school,19.721036967980208,0
328,18.0,0.0,male,right handed,college/bachelor degree,22.550940964858118,0
329,17.0,1.0,female,right handed,primary school,23.437499999999996,3
331,17.0,0.0,male,right handed,secondary school,27.77442337881898,4
332,22.0,2.0,female,right handed,secondary school,22.03856749311295,5
333,16.0,0.0,female,right handed,secondary school,21.469150482230148,0
334,24.0,1.0,female,right handed,masters degree,17.506389832288786,0
335,17.0,1.0,male,right handed,primary school,21.32943754565376,0
336,17.0,1.0,male,left handed,secondary school,20.761245674740486,3
337,17.0,2.0,male,right handed,secondary school,22.944088878154812,3
339,18.0,2.0,female,right handed,primary school,19.531249999999996,2
340,18.0,2.0,female,right handed,primary school,21.230572023714146,1
341,16.0,1.0,male,right handed,primary school,18.210197710718,3
342,20.0,0.0,female,right handed,secondary school,22.720438370810918,0
343,29.0,2.0,female,right handed,masters degree,19.841269841269845,0
344,24.0,3.0,female,right handed,college/bachelor degree,22.985397512168742,1
345,18.0,0.0,female,right handed,secondary school,22.308149910767405,3
346,17.0,0.0,male,right handed,primary school,20.45288531775018,3
348,16.0,1.0,male,right handed,secondary school,22.6421929718633,2
349,17.0,2.0,female,right handed,primary school,22.49134948096886,3
350,20.0,2.0,male,right handed,college/bachelor degree,19.445794846864363,3
351,16.0,1.0,female,right handed,primary school,22.058051188683873,2
352,19.0,1.0,male,right handed,secondary school,21.27600011197895,1
353,18.0,1.0,female,right handed,secondary school,21.773842357381334,0
354,20.0,1.0,female,right handed,secondary school,22.76146753597469,1
355,19.0,1.0,male,right handed,secondary school,24.691358024691358,3
356,18.0,1.0,male,left handed,secondary school,21.62162162162162,4
357,21.0,0.0,male,right handed,secondary school,29.961611685028558,5
358,19.0,2.0,male,right handed,college/bachelor degree,23.529411764705884,3
359,20.0,2.0,female,right handed,secondary school,21.266540642722116,3
360,23.0,1.0,female,right handed,college/bachelor degree,19.1358024691358,0
361,19.0,1.0,female,right handed,college/bachelor degree,21.04804761213529,1
363,19.0,2.0,female,right handed,college/bachelor degree,17.92821542543655,2
364,20.0,2.0,male,right handed,college/bachelor degree,23.671253629592222,3
365,24.0,5.0,male,right handed,college/bachelor degree,22.857142857142858,2
366,19.0,1.0,male,right handed,college/bachelor degree,23.545706371191137,3
367,20.0,2.0,male,right handed,secondary school,21.146319909102385,4
370,19.0,2.0,female,right handed,secondary school,20.549886621315196,4
371,19.0,4.0,female,right handed,secondary school,19.705532421177875,4
372,20.0,2.0,male,right handed,secondary school,16.014183991535358,3
373,20.0,0.0,male,left handed,college/bachelor degree,23.781212841854934,5
374,21.0,1.0,female,right handed,secondary school,20.015495867768596,3
377,17.0,0.0,female,right handed,secondary school,28.040378144528116,2
379,25.0,2.0,male,right handed,masters degree,22.12973972783723,4
380,20.0,1.0,female,left handed,secondary school,20.06920415224914,0
381,21.0,1.0,female,right handed,secondary school,19.37919743392696,1
382,21.0,0.0,female,right handed,secondary school,19.62826470116968,0
383,22.0,1.0,male,right handed,college/bachelor degree,26.296566837107374,2
384,19.0,1.0,female,right handed,secondary school,20.06920415224914,2
385,25.0,1.0,male,right handed,college/bachelor degree,24.302487059714682,4
386,19.0,0.0,female,right handed,secondary school,19.959355494266223,3
387,25.0,2.0,female,right handed,masters degree,22.948115744558788,0
388,25.0,1.0,female,right handed,masters degree,21.007667798746546,4
389,21.0,0.0,female,right handed,secondary school,21.258503401360546,5
390,20.0,2.0,male,right handed,secondary school,20.515086478979924,3
391,24.0,2.0,female,right handed,masters degree,17.99816345270891,4
392,30.0,2.0,female,right handed,masters degree,18.359374999999996,0
393,21.0,1.0,male,right handed,secondary school,24.212293388429753,1
394,27.0,3.0,male,right handed,masters degree,22.25690831309978,1
395,21.0,1.0,male,right handed,college/bachelor degree,22.985397512168742,3
396,16.0,0.0,female,right handed,primary school,18.590124925639504,1
397,21.0,1.0,female,right handed,college/bachelor degree,24.489795918367346,5
398,20.0,1.0,female,right handed,college/bachelor degree,22.03856749311295,4
399,22.0,1.0,female,right handed,secondary school,25.390624999999996,2
400,19.0,1.0,male,left handed,secondary school,24.691358024691358,3
401,20.0,1.0,female,right handed,secondary school,31.14186851211073,0
403,23.0,2.0,male,right handed,secondary school,25.79591836734694,0
404,20.0,2.0,female,right handed,college/bachelor degree,20.43816558499767,4
405,20.0,1.0,female,left handed,secondary school,21.179406843378686,1
406,21.0,1.0,female,left handed,secondary school,21.258503401360546,4
407,19.0,1.0,female,left handed,secondary school,15.967484395412978,4
408,21.0,1.0,female,right handed,college/bachelor degree,21.564544913741823,1
409,16.0,0.0,female,right handed,currently a primary school pupil,18.36547291092746,0
410,20.0,1.0,male,right handed,secondary school,27.160493827160494,3
411,18.0,0.0,female,right handed,secondary school,20.04744562130375,0
412,21.0,1.0,female,right handed,secondary school,19.13265306122449,3
413,21.0,2.0,male,right handed,secondary school,21.705129432793896,3
414,18.0,2.0,male,right handed,college/bachelor degree,20.07960127648894,4
415,19.0,1.0,female,right handed,secondary school,23.054562464499313,3
416,20.0,1.0,female,left handed,secondary school,18.68512110726644,3
417,18.0,1.0,male,right handed,secondary school,18.51851851851852,2
418,18.0,1.0,female,right handed,primary school,20.281233098972418,5
419,23.0,0.0,female,right handed,secondary school,21.230572023714146,4
420,20.0,1.0,female,right handed,secondary school,19.100091827364558,1
421,18.0,1.0,female,left handed,secondary school,19.48696145124717,2
422,28.0,1.0,female,right handed,college/bachelor degree,23.456790123456788,0
423,24.0,1.0,female,right handed,masters degree,25.21735857578381,0
425,21.0,3.0,female,right handed,secondary school,21.98989236526368,2
426,22.0,1.0,female,right handed,masters degree,25.390624999999996,2
427,19.0,1.0,male,right handed,secondary school,23.76543209876543,4
428,18.0,2.0,female,right handed,primary school,20.820939916716245,1
430,19.0,1.0,female,right handed,masters degree,18.339100346020764,0
431,19.0,2.0,male,left handed,secondary school,22.79035792549306,0
432,20.0,1.0,male,right handed,secondary school,23.629489603024574,4
433,19.0,3.0,female,right handed,secondary school,19.377162629757787,0
434,18.0,1.0,male,right handed,secondary school,24.515595463137995,0
435,18.0,1.0,female,right handed,secondary school,20.04744562130375,1
436,19.0,1.0,male,right handed,secondary school,20.015495867768596,3
437,18.0,0.0,female,right handed,secondary school,20.70081674131507,3
438,18.0,2.0,female,right handed,secondary school,22.839506172839506,5
439,19.0,1.0,male,right handed,secondary school,22.857142857142858,3
440,19.0,1.0,female,right handed,secondary school,21.564544913741823,0
442,18.0,6.0,female,right handed,secondary school,21.829952199932254,4
443,18.0,3.0,female,right handed,secondary school,20.576131687242793,0
444,19.0,1.0,female,right handed,secondary school,18.68512110726644,3
445,20.0,0.0,female,right handed,secondary school,17.444926771877153,5
446,19.0,1.0,male,right handed,secondary school,20.45288531775018,3
447,26.0,3.0,female,left handed,masters degree,20.70081674131507,1
448,19.0,1.0,female,right handed,secondary school,17.361111111111114,3
449,19.0,0.0,female,right handed,secondary school,23.458562375266975,0
450,22.0,1.0,male,right handed,college/bachelor degree,25.88057063502083,5
451,20.0,1.0,male,right handed,college/bachelor degree,23.875114784205696,3
452,28.0,2.0,female,right handed,masters degree,19.444444444444443,3
453,19.0,0.0,female,right handed,secondary school,21.179406843378686,0
454,21.0,0.0,female,right handed,secondary school,19.72386587771203,2
455,19.0,1.0,female,right handed,secondary school,18.93877551020408,3
456,22.0,2.0,male,right handed,secondary school,22.634676324128566,3
457,19.0,2.0,male,right handed,secondary school,18.924941241109856,3
458,18.0,1.0,female,right handed,secondary school,18.42403628117914,0
459,19.0,0.0,female,right handed,secondary school,22.49963710262738,3
460,22.0,2.0,male,left handed,secondary school,21.83589485176787,3
461,29.0,0.0,male,right handed,masters degree,26.874947509868147,1
462,20.43369890329013,2.0,female,right handed,college/bachelor degree,21.179406843378686,3
463,18.0,0.0,female,right handed,secondary school,22.308149910767405,0
464,22.0,1.0,female,right handed,secondary school,16.901027582477017,3
465,17.0,1.0,female,right handed,secondary school,18.662014686194166,5
466,19.0,0.0,male,right handed,college/bachelor degree,20.15621063240111,0
467,20.0,1.0,female,right handed,secondary school,17.746228926353147,5
468,18.0,0.0,female,right handed,secondary school,20.04744562130375,4
469,22.0,0.0,male,right handed,secondary school,21.827744904667984,3
470,19.0,1.0,female,right handed,secondary school,20.796729893506402,5
471,20.0,1.0,male,right handed,secondary school,23.355636914530994,2
472,25.0,1.0,male,right handed,masters degree,22.54595907041276,5
473,29.0,0.0,male,left handed,masters degree,22.145328719723185,1
