,Dance,Folk,Country,Classical music,Musical,Pop,Rock,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Entertainment spending,Clusters
34,3.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,2
35,3.0,3.0,1.0,4.0,5.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,5.0,1.0,5.0,0
36,1.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1
37,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1
38,5.0,3.0,1.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,1.0,0
39,3.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1
40,4.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,5
41,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4
42,2.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,0
43,3.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,3
44,4.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,0
45,5.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,0
46,4.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,0
48,3.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5
49,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1
50,2.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,4
51,3.0,3.0,1.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,4
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,4
53,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,4
54,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,4
55,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,0
56,1.0,2.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,5.0,2
57,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,1.0,5.0,2
58,5.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3
59,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,4
60,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,2
61,5.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,0
62,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4
64,3.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,0
65,3.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,3
66,4.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,2.0,0
67,4.0,3.0,2.0,2.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,3.0,5
68,3.0,2.0,1.0,2.0,4.0,3.0,5.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,0
69,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,5
70,5.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3
71,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,3
72,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,0
73,3.0,2.0,2.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3
74,2.0,1.0,4.0,5.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3
75,3.0,4.0,4.0,3.0,1.0,1.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,4
77,5.0,1.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,0
78,4.0,2.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,0
79,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,0
80,4.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,0
81,4.0,1.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,0
82,1.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2
83,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0,0
84,1.0,1.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,4.0,4
85,3.0,3.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,0
86,4.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3
87,4.0,1.0,2.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,0
88,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,0
89,3.0,2.0,1.0,4.0,3.0,3.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2
90,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,1
92,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,2
93,1.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,1
94,5.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,3
95,3.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,5.0,0
96,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,5.0,3
97,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3
98,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,0
99,4.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,5
100,4.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4
101,1.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,2
102,1.0,2.0,3.0,5.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,2
104,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4
105,1.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1
106,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,4
108,2.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1
109,2.0,2.0,4.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1
110,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4
111,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,2.0,4
112,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,5
114,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1
115,5.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,0
116,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,1
117,2.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,5
118,1.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2
119,4.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3
120,4.0,1.0,2.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,0
121,2.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,3
122,3.0,2.0,2.0,5.0,3.0,1.0,5.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,2
123,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,2
125,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,4
126,4.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5
127,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,4
128,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,0
129,5.0,3.0,1.0,2.0,2.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,0
130,2.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,5.0,3
131,3.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3
132,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,5
133,2.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,2.0,1
134,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0
135,2.0,1.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0,2
136,4.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5
137,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,2.0,4
138,2.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1
139,5.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,0
140,3.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,1.0,0
141,1.0,3.0,1.0,3.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,2.0,5.0,0
142,4.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3
143,4.0,2.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,5.0,0
145,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,3
147,3.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,5
148,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,0
149,1.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1
150,2.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,5.0,2
151,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,2
152,5.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,0
153,5.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3
154,1.0,2.0,4.0,5.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,2
155,4.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,4
156,2.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,0
157,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3
158,4.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,3
159,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4
160,3.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0,2
161,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3
162,3.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,5.0,1.0,2.0,4
163,3.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,3
165,5.0,2.0,4.0,3.0,1.0,4.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,0
166,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
168,4.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,0
169,2.0,1.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,1
170,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,4.0,1.0,3.0,4
171,3.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,0
172,2.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2
173,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1
174,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
175,1.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,0
177,1.0,4.0,2.0,4.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,2
178,1.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1
179,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1
180,2.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,2
181,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,4
182,4.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,4
183,3.0,2.0,1.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,0
184,2.0,2.0,2.0,3.0,4.0,2.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,2
185,3.0,1.0,1.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,5.0,3.0,1.0,5
186,2.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,5
187,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,3
188,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1
189,1.0,3.0,2.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1
190,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1
191,2.0,5.0,2.0,4.0,5.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,2
192,4.0,1.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,0
193,1.0,4.0,3.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0,2
194,1.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,4.0,2
195,2.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3
196,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0
197,3.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5
198,3.0,4.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,5.0,0
199,4.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3
200,3.0,1.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,0
202,5.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3
203,4.0,2.0,2.0,3.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3
204,3.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,2
205,2.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,3.0,2
206,5.0,2.0,2.0,5.0,5.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,2
207,2.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,1
208,3.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,0
209,4.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4
210,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4
211,5.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,0
212,1.0,3.0,3.0,5.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,2.0,4.0,2
213,4.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,0
214,2.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0,2
215,2.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5
216,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1
217,4.0,1.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,0
218,2.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,3
219,5.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,3
220,4.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,4
221,4.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4
222,3.0,2.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,0
223,3.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,5
224,2.0,2.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,2
225,2.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4
227,2.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,1.0,2.0,2
228,3.0,5.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,3.0,2.0,1.0,4
229,4.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,3
230,2.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,4
231,3.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,2.0,0
232,1.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0,0
